view_id,query_id,phase,design,protocol,cell,denominator,lower,planned,true,unknown,upper
V04,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p00,15,0.0,15,0,0,0.0
V04,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p01,15,0.0,15,0,0,0.0
V04,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p10,15,0.0,15,0,0,0.0
V04,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,p11,15,0.0,15,0,0,0.0
V04,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p00,15,0.0,15,0,0,0.0
V04,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p01,15,0.0,15,0,0,0.0
V04,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p10,15,0.0,15,0,0,0.0
V04,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,p11,15,0.0,15,0,0,0.0
V04,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p00,15,0.0,15,0,0,0.0
V04,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p01,15,0.0,15,0,0,0.0
V04,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p10,15,0.0,15,0,0,0.0
V04,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,p11,15,1.0,15,15,0,1.0
V04,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p00,13,0.0,15,0,0,0.0
V04,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p01,13,0.0,15,0,0,0.0
V04,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p10,13,0.0,15,0,0,0.0
V04,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,p11,13,1.0,15,13,0,1.0
V05,i_3d031958544a8c5247ac8905,f,c1-context-grid,scheduled,p00,15,0.0,15,0,0,0.0
