phase,model_config,condition,unit_id,run_id,source_ref,task_success,effect_count,receipt_count
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s03-r2,run-60c1e6ae421525e143d7c16e,datasets/t17-v2/stages/g/core-trials.jsonl#L263,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s03-r3,run-7f08c2be599015bd4c0b7597,datasets/t17-v2/stages/g/core-trials.jsonl#L264,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s04-r1,run-37c3b793cc942a45274e6d8d,datasets/t17-v2/stages/g/core-trials.jsonl#L265,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s04-r2,run-1f21f79215819737a7a38ce7,datasets/t17-v2/stages/g/core-trials.jsonl#L266,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s04-r3,run-373e965ed85880c987fb67e3,datasets/t17-v2/stages/g/core-trials.jsonl#L267,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s05-r1,run-bbb62199a9e300b74944ea23,datasets/t17-v2/stages/g/core-trials.jsonl#L268,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s05-r2,run-f23d58506b5ea73a5592e8c7,datasets/t17-v2/stages/g/core-trials.jsonl#L269,False,0,0
g,deepseek-v4-flash,m2-target-revoked,t17-live-reference-v2-model2-m2-target-revoked-s05-r3,run-5dd1af53f1800671fc5cdd6a,datasets/t17-v2/stages/g/core-trials.jsonl#L270,False,0,0
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s01-r1,run-9fd66cab0f1575c231948b50,datasets/t17-v2/stages/h/core-trials.jsonl#L181,False,0,0
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s01-r2,run-6e7eda58bad26afa23f036f9,datasets/t17-v2/stages/h/core-trials.jsonl#L182,False,2,2
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s01-r3,run-855bef12c1a4f2cb35e27f5b,datasets/t17-v2/stages/h/core-trials.jsonl#L183,False,2,2
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s02-r1,run-b42b349ff52d3357799073ac,datasets/t17-v2/stages/h/core-trials.jsonl#L184,False,0,0
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s02-r2,run-e192e2264ed456771ab09d8e,datasets/t17-v2/stages/h/core-trials.jsonl#L185,False,0,0
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s02-r3,run-b91f96c38197d4aa250c5b86,datasets/t17-v2/stages/h/core-trials.jsonl#L186,False,0,0
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s03-r1,run-fa7c1a127e38692e1d16f40c,datasets/t17-v2/stages/h/core-trials.jsonl#L187,False,2,2
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s03-r2,run-683d92a0397abbddd6489901,datasets/t17-v2/stages/h/core-trials.jsonl#L188,False,2,2
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s03-r3,run-1bf0123c271882848f9fc0a8,datasets/t17-v2/stages/h/core-trials.jsonl#L189,True,7,7
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s04-r1,run-47b2e54d67ef41a514144e69,datasets/t17-v2/stages/h/core-trials.jsonl#L190,True,7,7
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s04-r2,run-126825790781f3701c60204b,datasets/t17-v2/stages/h/core-trials.jsonl#L191,False,2,2
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s04-r3,run-070e205987ef9c1932b813ee,datasets/t17-v2/stages/h/core-trials.jsonl#L192,True,7,7
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s05-r1,run-ed48261ec0e7b2ac0dc6f784,datasets/t17-v2/stages/h/core-trials.jsonl#L193,False,2,2
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s05-r2,run-0d96f00186a5ed0da4c93750,datasets/t17-v2/stages/h/core-trials.jsonl#L194,False,2,2
h,gpt-5.6-luna,m2-control-normal-defense-enforce,t17-live-reference-v2-defense-m2-control-normal-defense-enforce-s05-r3,run-5113a6e773bdf1b643776087,datasets/t17-v2/stages/h/core-trials.jsonl#L195,False,2,2
