split,mechanism,metric,policy,budget,measure,old,corrected,difference
development,ALL,ALL,dependency_guided,66121,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,66121,point_coverage,0.31183862433862436,0.3154761904761905,0.0036375661375661617
development,ALL,ALL,dependency_guided,66121,unknown_rate,0.2347883597883598,0.23115079365079366,-0.003637566137566134
development,ALL,ALL,dependency_guided,66121,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,66121,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,66121,error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,66121,infeasible_rate,0.45337301587301587,0.45337301587301587,0.0
development,ALL,ALL,dependency_guided,66121,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,dependency_guided,66121,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,dependency_guided,66121,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,66121,full_state_agreement,0.3723544973544974,0.3759920634920635,0.003637566137566106
development,ALL,ALL,dependency_guided,66121,full_point_agreement,1.0,1.0,0.0
development,ALL,ALL,dependency_guided,66121,mean_charged_bytes_feasible,61229.55133762485,61195.482656427426,-34.06868119742285
development,ALL,ALL,dependency_guided,66121,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,dependency_guided,66121,mean_visible_json_bytes,2187.5906084656085,2186.482804232804,-1.107804232804483
development,ALL,ALL,dependency_guided,66121,mean_acquired_channels,7.7576058201058204,7.754133597883598,-0.003472222222222321
development,ALL,ALL,dependency_guided,66121,mean_evidence_fields,46.77480158730159,46.7311507936508,-0.04365079365079083
development,ALL,ALL,dependency_guided,66121,mean_evidence_events,0.8373015873015873,0.8373015873015873,0.0
development,ALL,ALL,dependency_guided,72264,correct_point_coverage,0.4766865079365079,0.47867063492063494,0.0019841269841270326
development,ALL,ALL,dependency_guided,72264,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72264,selective_error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72264,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72264,point_coverage,0.4260912698412698,0.42807539682539686,0.0019841269841270326
development,ALL,ALL,dependency_guided,72264,unknown_rate,0.22371031746031747,0.22172619047619047,-0.001984126984127005
development,ALL,ALL,dependency_guided,72264,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72264,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72264,error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72264,infeasible_rate,0.3501984126984127,0.3501984126984127,0.0
development,ALL,ALL,dependency_guided,72264,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,dependency_guided,72264,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,dependency_guided,72264,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72264,full_state_agreement,0.4955357142857143,0.4975198412698413,0.001984126984126977
development,ALL,ALL,dependency_guided,72264,full_point_agreement,1.0,1.0,0.0
development,ALL,ALL,dependency_guided,72264,mean_charged_bytes_feasible,62720.13496607404,62678.11614349308,-42.01882258096157
development,ALL,ALL,dependency_guided,72264,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,dependency_guided,72264,mean_visible_json_bytes,2198.6623677248676,2197.236441798942,-1.4259259259256396
development,ALL,ALL,dependency_guided,72264,mean_acquired_channels,7.756283068783069,7.751818783068783,-0.004464285714285587
development,ALL,ALL,dependency_guided,72264,mean_evidence_fields,46.93353174603175,46.88392857142857,-0.049603174603177536
development,ALL,ALL,dependency_guided,72264,mean_evidence_events,0.8394510582010583,0.8394510582010583,0.0
development,ALL,ALL,dependency_guided,72267,correct_point_coverage,0.5932539682539683,0.5952380952380952,0.001984126984126977
development,ALL,ALL,dependency_guided,72267,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72267,selective_error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72267,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72267,point_coverage,0.5264550264550265,0.5284391534391535,0.001984126984126977
development,ALL,ALL,dependency_guided,72267,unknown_rate,0.2562830687830688,0.2542989417989418,-0.001984126984126977
development,ALL,ALL,dependency_guided,72267,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72267,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72267,error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72267,infeasible_rate,0.21726190476190477,0.21726190476190477,0.0
development,ALL,ALL,dependency_guided,72267,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
