condition,budget,seeds,point_count_mean,point_count_min,point_count_max,point_coverage_mean,point_coverage_min,point_coverage_max,eligibility_coverage_mean,eligibility_coverage_min,eligibility_coverage_max,unknown_rate_mean,unknown_rate_min,unknown_rate_max,mean_acquired_families_mean,mean_acquired_families_min,mean_acquired_families_max,mean_added_json_bytes_mean,mean_added_json_bytes_min,mean_added_json_bytes_max
five_missing,0,8,29.0,29.0,29.0,0.12340425531914893,0.12340425531914893,0.12340425531914893,0.8297872340425532,0.8297872340425532,0.8297872340425532,0.676595744680851,0.676595744680851,0.676595744680851,0.0,0.0,0.0,0.0,0.0,0.0
five_missing,1,8,39.0,34.0,45.0,0.16595744680851063,0.14468085106382977,0.19148936170212766,0.8537234042553191,0.8382978723404255,0.8638297872340426,0.6186170212765958,0.5914893617021276,0.6340425531914894,0.676595744680851,0.676595744680851,0.676595744680851,847.6175531914894,617.736170212766,1161.6808510638298
five_missing,2,8,54.75,46.0,61.0,0.23297872340425532,0.19574468085106383,0.25957446808510637,0.8723404255319149,0.8425531914893617,0.8936170212765957,0.5398936170212766,0.5106382978723404,0.574468085106383,1.2952127659574468,1.2680851063829788,1.3106382978723403,1657.0058510638298,1394.2212765957447,1892.004255319149
five_missing,3,8,75.25,70.0,81.0,0.3202127659574468,0.2978723404255319,0.3446808510638298,0.899468085106383,0.8680851063829788,0.9319148936170213,0.43882978723404253,0.41702127659574467,0.46382978723404256,1.8351063829787233,1.7872340425531914,1.8851063829787233,2319.622340425532,1967.4170212765957,2674.1446808510636
five_missing,4,8,97.25,93.0,100.0,0.41382978723404257,0.39574468085106385,0.425531914893617,0.9271276595744681,0.902127659574468,0.9446808510638298,0.325,0.3148936170212766,0.3404255319148936,2.273936170212766,2.217021276595745,2.323404255319149,2959.668085106383,2664.8936170212764,3475.655319148936
five_missing,5,8,126.0,126.0,126.0,0.5361702127659574,0.5361702127659574,0.5361702127659574,0.948936170212766,0.948936170212766,0.948936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,2.598936170212766,2.5446808510638297,2.651063829787234,3450.7271276595743,3282.451063829787,3875.8468085106383
five_missing,6,8,126.0,126.0,126.0,0.5361702127659574,0.5361702127659574,0.5361702127659574,0.948936170212766,0.948936170212766,0.948936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,2.598936170212766,2.5446808510638297,2.651063829787234,3450.7271276595743,3282.451063829787,3875.8468085106383
five_missing,7,8,126.0,126.0,126.0,0.5361702127659574,0.5361702127659574,0.5361702127659574,0.948936170212766,0.948936170212766,0.948936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,2.598936170212766,2.5446808510638297,2.651063829787234,3450.7271276595743,3282.451063829787,3875.8468085106383
five_missing,8,8,126.0,126.0,126.0,0.5361702127659574,0.5361702127659574,0.5361702127659574,0.948936170212766,0.948936170212766,0.948936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,2.598936170212766,2.5446808510638297,2.651063829787234,3450.7271276595743,3282.451063829787,3875.8468085106383
five_missing,9,8,126.0,126.0,126.0,0.5361702127659574,0.5361702127659574,0.5361702127659574,0.948936170212766,0.948936170212766,0.948936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,2.598936170212766,2.5446808510638297,2.651063829787234,3450.7271276595743,3282.451063829787,3875.8468085106383
