condition,policy,seed,budget,n_query_observations,unique_queries,unique_registry_units,explicit_construct_families,point_count,point_coverage,not_applicable_count,eligibility_coverage,unknown_count,unknown_rate,analysis_errors,full_point_pairs,full_point_agreement,full_state_agreement,point_not_supported_by_full,independent_truth_n,independent_answered_n,independent_correct_n,independent_truth_coverage,independent_selective_accuracy,independent_eligibility_n,independent_eligibility_coverage,independent_eligibility_accuracy,mean_acquired_families,mean_added_json_bytes
all_nine_missing,random,19103,0,235,235,36,9,0,0.0,36,0.7276595744680852,199,0.8468085106382979,0,0,,0.3191489361702128,0,128,0,0,0.0,,229,0.7467248908296943,1.0,0,0
all_nine_missing,random,19103,1,235,235,36,9,0,0.0,38,0.7446808510638298,197,0.8382978723404255,0,0,,0.33191489361702126,0,128,0,0,0.0,,229,0.7641921397379913,1.0,0.8468085106382979,754.1617021276596
all_nine_missing,random,19103,2,235,235,36,9,3,0.01276595744680851,44,0.774468085106383,188,0.8,0,3,1.0,0.3702127659574468,0,128,3,3,0.0234375,1.0,229,0.7947598253275109,1.0,1.6851063829787234,1372.604255319149
all_nine_missing,random,19103,3,235,235,36,9,8,0.03404255319148936,46,0.7914893617021277,181,0.7702127659574468,0,8,1.0,0.4,0,128,8,8,0.0625,1.0,229,0.8122270742358079,1.0,2.4851063829787234,2273.493617021277
all_nine_missing,random,19103,4,235,235,36,9,21,0.08936170212765958,48,0.8170212765957446,166,0.7063829787234043,0,21,1.0,0.4723404255319149,0,128,21,21,0.1640625,1.0,229,0.8384279475982532,1.0,3.25531914893617,3229.468085106383
all_nine_missing,random,19103,5,235,235,36,9,38,0.16170212765957448,54,0.851063829787234,143,0.6085106382978723,0,38,1.0,0.5702127659574469,0,128,38,38,0.296875,1.0,229,0.8733624454148472,1.0,3.9617021276595743,3839.859574468085
all_nine_missing,random,19103,6,235,235,36,9,51,0.2170212765957447,59,0.8851063829787233,125,0.5319148936170213,0,51,1.0,0.6553191489361702,0,128,51,51,0.3984375,1.0,229,0.9082969432314411,1.0,4.5702127659574465,4420.608510638298
all_nine_missing,random,19103,7,235,235,36,9,74,0.3148936170212766,60,0.902127659574468,101,0.4297872340425532,0,74,1.0,0.7574468085106383,0,128,74,74,0.578125,1.0,229,0.925764192139738,1.0,5.102127659574468,5359.208510638298
all_nine_missing,random,19103,8,235,235,36,9,95,0.40425531914893614,64,0.9319148936170213,76,0.32340425531914896,0,95,1.0,0.8680851063829788,0,128,95,95,0.7421875,1.0,229,0.9563318777292577,1.0,5.531914893617022,5865.787234042553
all_nine_missing,random,19103,9,235,235,36,9,126,0.5361702127659574,64,0.948936170212766,45,0.19148936170212766,0,126,1.0,1.0,0,128,126,126,0.984375,1.0,229,0.9737991266375546,1.0,5.85531914893617,6360.782978723404
all_nine_missing,random,19104,0,235,235,36,9,0,0.0,36,0.7276595744680852,199,0.8468085106382979,0,0,,0.3191489361702128,0,128,0,0,0.0,,229,0.7467248908296943,1.0,0,0
all_nine_missing,random,19104,1,235,235,36,9,3,0.01276595744680851,42,0.7574468085106383,190,0.8085106382978723,0,3,1.0,0.3574468085106383,0,128,3,3,0.0234375,1.0,229,0.777292576419214,1.0,0.8468085106382979,759.327659574468
all_nine_missing,random,19104,2,235,235,36,9,6,0.02553191489361702,44,0.7702127659574468,185,0.7872340425531915,0,6,1.0,0.37872340425531914,0,128,6,6,0.046875,1.0,229,0.7903930131004366,1.0,1.6553191489361703,1706.659574468085
all_nine_missing,random,19104,3,235,235,36,9,10,0.0425531914893617,49,0.7957446808510639,176,0.7489361702127659,0,10,1.0,0.41702127659574467,0,128,10,10,0.078125,1.0,229,0.8165938864628821,1.0,2.442553191489362,2645.668085106383
all_nine_missing,random,19104,4,235,235,36,9,23,0.09787234042553192,51,0.8170212765957446,161,0.6851063829787234,0,23,1.0,0.4808510638297872,0,128,23,23,0.1796875,1.0,229,0.8384279475982532,1.0,3.1914893617021276,3739.4553191489363
all_nine_missing,random,19104,5,235,235,36,9,39,0.16595744680851063,53,0.8382978723404255,143,0.6085106382978723,0,39,1.0,0.5574468085106383,0,128,39,39,0.3046875,1.0,229,0.8602620087336245,1.0,3.876595744680851,4449.438297872341
all_nine_missing,random,19104,6,235,235,36,9,58,0.24680851063829787,55,0.8638297872340426,122,0.5191489361702127,0,58,1.0,0.6510638297872341,0,128,58,58,0.453125,1.0,229,0.8864628820960698,1.0,4.485106382978723,5066.744680851064
all_nine_missing,random,19104,7,235,235,36,9,74,0.3148936170212766,56,0.8808510638297873,105,0.44680851063829785,0,74,1.0,0.7361702127659574,0,128,74,74,0.578125,1.0,229,0.9039301310043668,1.0,5.004255319148936,5482.4808510638295
all_nine_missing,random,19104,8,235,235,36,9,94,0.4,59,0.9106382978723404,82,0.34893617021276596,0,94,1.0,0.8425531914893617,0,128,94,94,0.734375,1.0,229,0.9344978165938864,1.0,5.451063829787234,6375.310638297872
all_nine_missing,random,19104,9,235,235,36,9,126,0.5361702127659574,64,0.948936170212766,45,0.19148936170212766,0,126,1.0,1.0,0,128,126,126,0.984375,1.0,229,0.9737991266375546,1.0,5.8,6831.502127659574
all_nine_missing,random,19105,0,235,235,36,9,0,0.0,36,0.7276595744680852,199,0.8468085106382979,0,0,,0.3191489361702128,0,128,0,0,0.0,,229,0.7467248908296943,1.0,0,0
all_nine_missing,random,19105,1,235,235,36,9,0,0.0,37,0.7531914893617021,198,0.8425531914893617,0,0,,0.32340425531914896,0,128,0,0,0.0,,229,0.7729257641921398,1.0,0.8468085106382979,499.58297872340427
