condition,policy,seed,budget,metric,domain,n_query_observations,unique_queries,unique_registry_units,explicit_construct_families,point_count,point_coverage,not_applicable_count,eligibility_coverage,unknown_count,unknown_rate,analysis_errors,full_point_pairs,full_point_agreement,full_state_agreement,point_not_supported_by_full,independent_truth_n,independent_answered_n,independent_correct_n,independent_truth_coverage,independent_selective_accuracy,independent_eligibility_n,independent_eligibility_coverage,independent_eligibility_accuracy,mean_acquired_families,mean_added_json_bytes
all_nine_missing,random,19106,9,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,10,0.13157894736842105,54,0.9210526315789473,12,0.15789473684210525,0,10,1.0,1.0,0,12,10,10,0.8333333333333334,1.0,76,0.9210526315789473,1.0,3.6447368421052633,2602.8289473684213
all_nine_missing,random,19106,9,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,8,0.3333333333333333,10,0.75,6,0.25,0,8,1.0,1.0,0,8,8,8,1.0,1.0,18,1.0,1.0,5.916666666666667,16526.291666666668
all_nine_missing,random,19106,9,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,9,0.25,0,1.0,27,0.75,0,9,1.0,1.0,0,9,9,9,1.0,1.0,36,1.0,1.0,7.916666666666667,4650.722222222223
all_nine_missing,random,19106,9,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,99,1.0,0,1.0,0,0.0,0,99,1.0,1.0,0,99,99,99,1.0,1.0,99,1.0,1.0,6.717171717171717,7356.878787878788
all_nine_missing,random,19107,0,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,0,0.0,32,0.42105263157894735,44,0.5789473684210527,0,0,,0.5,0,12,0,0,0.0,,76,0.42105263157894735,1.0,0,0
all_nine_missing,random,19107,0,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,0,0.0,4,0.16666666666666666,20,0.8333333333333334,0,0,,0.4166666666666667,0,8,0,0,0.0,,18,0.2222222222222222,1.0,0,0
all_nine_missing,random,19107,0,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,0,0.0,0,1.0,36,1.0,0,0,,0.75,0,9,0,0,0.0,,36,1.0,1.0,0,0
all_nine_missing,random,19107,0,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,0,0.0,0,1.0,99,1.0,0,0,,0.0,0,99,0,0,0.0,,99,1.0,1.0,0,0
all_nine_missing,random,19107,1,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,0,0.0,35,0.5,41,0.5394736842105263,0,0,,0.5657894736842105,0,12,0,0,0.0,,76,0.5,1.0,0.5789473684210527,581.3421052631579
all_nine_missing,random,19107,1,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,0,0.0,5,0.25,19,0.7916666666666666,0,0,,0.4583333333333333,0,8,0,0,0.0,,18,0.3333333333333333,1.0,0.8333333333333334,1194.625
all_nine_missing,random,19107,1,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,1,0.027777777777777776,0,1.0,35,0.9722222222222222,0,1,1.0,0.7777777777777778,0,9,1,1,0.1111111111111111,1.0,36,1.0,1.0,1,356.3888888888889
all_nine_missing,random,19107,1,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,0,0.0,0,1.0,99,1.0,0,0,,0.0,0,99,0,0,0.0,,99,1.0,1.0,1,603.3535353535353
all_nine_missing,random,19107,2,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,0,0.0,37,0.5526315789473685,39,0.5131578947368421,0,0,,0.6052631578947368,0,12,0,0,0.0,,76,0.5526315789473685,1.0,1.118421052631579,943.5
all_nine_missing,random,19107,2,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,0,0.0,6,0.375,18,0.75,0,0,,0.5,0,8,0,0,0.0,,18,0.5,1.0,1.625,2655
all_nine_missing,random,19107,2,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,4,0.1111111111111111,0,1.0,32,0.8888888888888888,0,4,1.0,0.8611111111111112,0,9,4,4,0.4444444444444444,1.0,36,1.0,1.0,1.9722222222222223,1050.8333333333333
all_nine_missing,random,19107,2,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,2,0.020202020202020204,0,1.0,97,0.9797979797979798,0,2,1.0,0.020202020202020204,0,99,2,2,0.020202020202020204,1.0,99,1.0,1.0,2,1430.040404040404
all_nine_missing,random,19107,3,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,2,0.02631578947368421,41,0.631578947368421,33,0.4342105263157895,0,2,1.0,0.6842105263157895,0,12,2,2,0.16666666666666666,1.0,76,0.631578947368421,1.0,1.631578947368421,1321.75
all_nine_missing,random,19107,3,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,0,0.0,7,0.4166666666666667,17,0.7083333333333334,0,0,,0.5416666666666666,0,8,0,0,0.0,,18,0.5555555555555556,1.0,2.375,3844.5
all_nine_missing,random,19107,3,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,4,0.1111111111111111,0,1.0,32,0.8888888888888888,0,4,1.0,0.8611111111111112,0,9,4,4,0.4444444444444444,1.0,36,1.0,1.0,2.861111111111111,1487.4166666666667
all_nine_missing,random,19107,3,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,6,0.06060606060606061,0,1.0,93,0.9393939393939394,0,6,1.0,0.06060606060606061,0,99,6,6,0.06060606060606061,1.0,99,1.0,1.0,2.9797979797979797,2386.929292929293
all_nine_missing,random,19107,4,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,2,0.02631578947368421,43,0.6973684210526315,31,0.40789473684210525,0,2,1.0,0.7368421052631579,0,12,2,2,0.16666666666666666,1.0,76,0.6973684210526315,1.0,2.0657894736842106,2008.1973684210527
