slot_id,module,kind,parent_slot,instance,source_variant,repeat,branch,max_requests,activation
RIR-I2-neutral-R2-revoked_original,RIR,suffix,RIR-I2-neutral-R2-P,2,neutral,2,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I2-neutral-R2-revoked_identity,RIR,suffix,RIR-I2-neutral-R2-P,2,neutral,2,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I2-neutral-R2-revoked_neutral,RIR,suffix,RIR-I2-neutral-R2-P,2,neutral,2,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable
RIR-I2-neutral-R2-not_revoked_control,RIR,suffix,RIR-I2-neutral-R2-P,2,neutral,2,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable
ALR-I1-R1-P,ALR,prefix,,1,claim,1,setup,8,strict_alr_module_needed
ALR-I1-R1-original,ALR,suffix,ALR-I1-R1-P,1,claim,1,original,12,module_needed_and_real_checkpoint_available
ALR-I1-R1-identity,ALR,suffix,ALR-I1-R1-P,1,claim,1,identity,12,module_needed_and_real_checkpoint_available
ALR-I1-R1-neutral,ALR,suffix,ALR-I1-R1-P,1,claim,1,neutral,12,module_needed_and_real_checkpoint_available
ALR-I1-R2-P,ALR,prefix,,1,claim,2,setup,8,strict_alr_module_needed
ALR-I1-R2-original,ALR,suffix,ALR-I1-R2-P,1,claim,2,original,12,module_needed_and_real_checkpoint_available
ALR-I1-R2-identity,ALR,suffix,ALR-I1-R2-P,1,claim,2,identity,12,module_needed_and_real_checkpoint_available
ALR-I1-R2-neutral,ALR,suffix,ALR-I1-R2-P,1,claim,2,neutral,12,module_needed_and_real_checkpoint_available
ALR-I2-R1-P,ALR,prefix,,2,claim,1,setup,8,strict_alr_module_needed
ALR-I2-R1-original,ALR,suffix,ALR-I2-R1-P,2,claim,1,original,12,module_needed_and_real_checkpoint_available
ALR-I2-R1-identity,ALR,suffix,ALR-I2-R1-P,2,claim,1,identity,12,module_needed_and_real_checkpoint_available
ALR-I2-R1-neutral,ALR,suffix,ALR-I2-R1-P,2,claim,1,neutral,12,module_needed_and_real_checkpoint_available
ALR-I2-R2-P,ALR,prefix,,2,claim,2,setup,8,strict_alr_module_needed
ALR-I2-R2-original,ALR,suffix,ALR-I2-R2-P,2,claim,2,original,12,module_needed_and_real_checkpoint_available
ALR-I2-R2-identity,ALR,suffix,ALR-I2-R2-P,2,claim,2,identity,12,module_needed_and_real_checkpoint_available
ALR-I2-R2-neutral,ALR,suffix,ALR-I2-R2-P,2,claim,2,neutral,12,module_needed_and_real_checkpoint_available
