split,family_id,mechanism,metric,policy,budget,observations,oracle_point,oracle_unknown,oracle_not_applicable,point,bounded,unknown,not_applicable,error,infeasible,answered_oracle_point,correct_point,wrong_point,wrong_safe,full_comparable,full_agree,full_point_comparable,full_point_agree,feasible,charged_total_bytes,initial_bytes,visible_json_bytes,acquired_channels,evidence_fields,evidence_events,correct_point_coverage,wrong_point_rate,selective_error_rate,wrong_safe_rate,point_coverage,unknown_rate,bounded_rate,not_applicable_rate,error_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate,full_state_agreement,full_point_agreement,mean_charged_bytes_feasible,mean_initial_bytes,mean_visible_json_bytes,mean_acquired_channels,mean_evidence_fields,mean_evidence_events,query_count,unit_count,averaged_query_conditions
heldout,H04_sql_join_export,ALL,UEA,dependency_guided,73290,56.0,56.0,0.0,0.0,32.333333333333336,0.0,11.0,0.0,0.0,12.666666666666666,32.333333333333336,32.333333333333336,0.0,0.0,56.0,32.333333333333336,32.333333333333336,32.333333333333336,43.333333333333336,2764978.0,3560552.0,124552.33333333333,432.6666666666667,2484.3333333333335,51.0,0.5773809523809524,0.0,0.0,0.0,0.5773809523809524,0.19642857142857142,0.0,0.0,0.0,0.2261904761904762,1.0,0.0,0.0,0.5773809523809524,1.0,63807.18461538461,63581.28571428572,2224.1488095238096,7.726190476190476,44.36309523809524,0.9107142857142857,4,4,56
heldout,H04_sql_join_export,ALL,UEA,dependency_guided,76363,56.0,56.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,56.0,56.0,56.0,56.0,56.0,3792658.6666666665,3560552.0,128011.66666666667,443.0,2551.0,54.666666666666664,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,67726.04761904762,63581.28571428572,2285.9226190476193,7.910714285714286,45.55357142857143,0.9761904761904762,4,4,56
heldout,H04_sql_join_export,ALL,UEA,global_fixed,0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,3560552.0,119620.0,420.0,2377.6666666666665,48.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,63581.28571428572,2136.0714285714284,7.5,42.45833333333333,0.8571428571428571,4,4,56
heldout,H04_sql_join_export,ALL,UEA,global_fixed,39499,56.0,56.0,0.0,0.0,0.0,0.0,3.333333333333333,0.0,0.0,52.666666666666664,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,3.333333333333333,124495.33333333333,3560552.0,120194.0,422.6666666666667,2391.0,48.333333333333336,0.0,0.0,,0.0,0.0,0.05952380952380952,0.0,0.0,0.0,0.9404761904761905,1.0,0.0,0.0,0.0,,37348.6,63581.28571428572,2146.3214285714284,7.547619047619048,42.69642857142857,0.8630952380952381,4,4,56
heldout,H04_sql_join_export,ALL,UEA,global_fixed,50761,56.0,56.0,0.0,0.0,0.6666666666666666,0.0,5.0,0.0,0.0,50.333333333333336,0.6666666666666666,0.6666666666666666,0.0,0.0,56.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,5.666666666666667,267859.6666666667,3560552.0,121283.66666666667,428.6666666666667,2416.0,49.666666666666664,0.011904761904761904,0.0,0.0,0.0,0.011904761904761904,0.08928571428571429,0.0,0.0,0.0,0.8988095238095238,1.0,0.0,0.0,0.011904761904761904,1.0,47269.35294117647,63581.28571428572,2165.779761904762,7.654761904761905,43.142857142857146,0.8869047619047619,4,4,56
heldout,H04_sql_join_export,ALL,UEA,global_fixed,58954,56.0,56.0,0.0,0.0,4.333333333333333,0.0,6.333333333333333,0.0,0.0,45.333333333333336,4.333333333333333,4.333333333333333,0.0,0.0,56.0,4.333333333333333,4.333333333333333,4.333333333333333,10.666666666666666,555125.3333333334,3560552.0,121810.33333333333,432.3333333333333,2423.3333333333335,50.333333333333336,0.07738095238095237,0.0,0.0,0.0,0.07738095238095237,0.1130952380952381,0.0,0.0,0.0,0.8095238095238095,1.0,0.0,0.0,0.07738095238095237,1.0,52043.00000000001,63581.28571428572,2175.184523809524,7.720238095238095,43.273809523809526,0.8988095238095238,4,4,56
heldout,H04_sql_join_export,ALL,UEA,global_fixed,62026,56.0,56.0,0.0,0.0,11.0,0.0,6.0,0.0,0.0,39.0,11.0,11.0,0.0,0.0,56.0,11.0,11.0,11.0,17.0,960933.6666666666,3560552.0,122600.0,433.3333333333333,2440.6666666666665,51.0,0.19642857142857142,0.0,0.0,0.0,0.19642857142857142,0.10714285714285714,0.0,0.0,0.0,0.6964285714285714,1.0,0.0,0.0,0.19642857142857142,1.0,56525.509803921566,63581.28571428572,2189.285714285714,7.738095238095238,43.58333333333333,0.9107142857142857,4,4,56
heldout,H04_sql_join_export,ALL,UEA,global_fixed,66121,56.0,56.0,0.0,0.0,14.0,0.0,12.0,0.0,0.0,30.0,14.0,14.0,0.0,0.0,56.0,14.0,14.0,14.0,26.0,1589832.6666666667,3560552.0,124669.33333333333,437.3333333333333,2486.6666666666665,51.333333333333336,0.25,0.0,0.0,0.0,0.25,0.21428571428571427,0.0,0.0,0.0,0.5357142857142857,1.0,0.0,0.0,0.25,1.0,61147.41025641026,63581.28571428572,2226.238095238095,7.809523809523809,44.404761904761905,0.9166666666666667,4,4,56
heldout,H04_sql_join_export,ALL,UEA,global_fixed,72264,56.0,56.0,0.0,0.0,22.666666666666668,0.0,11.666666666666666,0.0,0.0,21.666666666666668,22.666666666666668,22.666666666666668,0.0,0.0,56.0,22.666666666666668,22.666666666666668,22.666666666666668,34.333333333333336,2151780.3333333335,3560552.0,124878.66666666667,440.0,2487.3333333333335,51.333333333333336,0.40476190476190477,0.0,0.0,0.0,0.40476190476190477,0.20833333333333331,0.0,0.0,0.0,0.3869047619047619,1.0,0.0,0.0,0.40476190476190477,1.0,62673.21359223301,63581.28571428572,2229.9761904761904,7.857142857142857,44.41666666666667,0.9166666666666667,4,4,56
heldout,H04_sql_join_export,ALL,UEA,global_fixed,72267,56.0,56.0,0.0,0.0,28.0,0.0,15.333333333333334,0.0,0.0,12.666666666666666,28.0,28.0,0.0,0.0,56.0,28.0,28.0,28.0,43.333333333333336,2805596.6666666665,3560552.0,125074.33333333333,440.0,2491.3333333333335,51.333333333333336,0.5,0.0,0.0,0.0,0.5,0.27380952380952384,0.0,0.0,0.0,0.2261904761904762,1.0,0.0,0.0,0.5,1.0,64744.538461538454,63581.28571428572,2233.470238095238,7.857142857142857,44.48809523809524,0.9166666666666667,4,4,56
