split,mechanism,metric,policy,budget,observations,oracle_point,oracle_unknown,oracle_not_applicable,point,bounded,unknown,not_applicable,error,infeasible,answered_oracle_point,correct_point,wrong_point,wrong_safe,full_comparable,full_agree,full_point_comparable,full_point_agree,feasible,charged_total_bytes,initial_bytes,visible_json_bytes,acquired_channels,evidence_fields,evidence_events,pooled_correct_point_coverage,pooled_wrong_point_rate,pooled_selective_error_rate,pooled_wrong_safe_rate,pooled_point_coverage,pooled_unknown_rate,pooled_bounded_rate,pooled_not_applicable_rate,pooled_error_rate,pooled_infeasible_rate,pooled_reference_coverage,pooled_reference_unknown_rate,pooled_reference_not_applicable_rate,pooled_full_state_agreement,pooled_full_point_agreement,pooled_mean_charged_bytes_feasible,pooled_mean_initial_bytes,pooled_mean_visible_json_bytes,pooled_mean_acquired_channels,pooled_mean_evidence_fields,pooled_mean_evidence_events,family_equal_correct_point_coverage,family_equal_wrong_point_rate,family_equal_selective_error_rate,family_equal_wrong_safe_rate,family_equal_point_coverage,family_equal_unknown_rate,family_equal_bounded_rate,family_equal_not_applicable_rate,family_equal_error_rate,family_equal_infeasible_rate,family_equal_reference_coverage,family_equal_reference_unknown_rate,family_equal_reference_not_applicable_rate,family_equal_full_state_agreement,family_equal_full_point_agreement,family_equal_mean_charged_bytes_feasible,family_equal_mean_initial_bytes,family_equal_mean_visible_json_bytes,family_equal_mean_acquired_channels,family_equal_mean_evidence_fields,family_equal_mean_evidence_events,families,families_with_point_reference
development,ALL,ALL,global_fixed,50761,784.0,672.0,112.0,0.0,14.0,0.0,81.33333333333333,0.0,0.0,688.6666666666666,14.0,14.0,0.0,0.0,784.0,27.333333333333332,14.0,14.0,95.33333333333333,4455939.333333334,49444120.0,1652831.3333333333,5974.666666666667,34964.66666666667,646.3333333333334,0.020833333333333332,0.0,0.0,0.0,0.017857142857142856,0.10374149659863945,0.0,0.0,0.0,0.8784013605442177,0.8571428571428571,0.14285714285714285,0.0,0.03486394557823129,1.0,46740.622377622385,63066.47959183674,2108.203231292517,7.620748299319728,44.597789115646265,0.824404761904762,0.020833333333333332,0.0,0.0,0.0,0.019014550264550265,0.10300925925925924,0.0,0.0,0.0,0.8779761904761905,0.8888888888888888,0.1111111111111111,0.0,0.03224206349206349,1.0,46693.14245352072,63089.119047619046,2109.1498015873017,7.620701058201059,45.00016534391535,0.8334986772486772,6,6
development,ALL,ALL,global_fixed,58954,784.0,672.0,112.0,0.0,40.33333333333333,0.0,138.33333333333334,0.0,0.0,605.3333333333334,40.33333333333333,40.33333333333333,0.0,0.0,784.0,66.33333333333333,40.33333333333333,40.33333333333333,178.66666666666666,9440757.666666666,49444120.0,1668251.6666666667,6037.333333333333,35322.666666666664,656.0,0.060019841269841265,0.0,0.0,0.0,0.05144557823129251,0.17644557823129253,0.0,0.0,0.0,0.772108843537415,0.8571428571428571,0.14285714285714285,0.0,0.08460884353741496,1.0,52840.06156716418,63066.47959183674,2127.872023809524,7.700680272108843,45.05442176870748,0.8367346938775511,0.060019841269841265,0.0,0.0,0.0,0.05423280423280423,0.17294973544973546,0.0,0.0,0.0,0.7728174603174603,0.8888888888888888,0.1111111111111111,0.0,0.08002645502645503,1.0,52774.64422114422,63089.119047619046,2128.727843915344,7.698743386243386,45.46114417989418,0.8463955026455027,6,6
development,ALL,ALL,global_fixed,62026,784.0,672.0,112.0,0.0,87.33333333333333,0.0,202.66666666666666,0.0,0.0,494.0,87.33333333333333,87.33333333333333,0.0,0.0,784.0,130.0,87.33333333333333,87.33333333333333,290.0,17347725.666666668,49444120.0,1712610.0,6140.333333333333,36416.333333333336,658.0,0.12996031746031744,0.0,0.0,0.0,0.11139455782312925,0.2585034013605442,0.0,0.0,0.0,0.6301020408163265,0.8571428571428571,0.14285714285714285,0.0,0.16581632653061223,1.0,59819.74367816092,63066.47959183674,2184.451530612245,7.832057823129252,46.449404761904766,0.8392857142857143,0.12996031746031747,0.0,0.0,0.0,0.11623677248677249,0.2518187830687831,0.0,0.0,0.0,0.6319444444444444,0.8888888888888888,0.1111111111111111,0.0,0.15856481481481483,1.0,59579.727067528016,63089.119047619046,2183.785218253968,7.824404761904762,46.824074074074076,0.8490410052910053,6,6
development,ALL,ALL,global_fixed,66121,784.0,672.0,112.0,0.0,179.33333333333334,0.0,249.0,0.0,0.0,355.6666666666667,179.33333333333334,179.33333333333334,0.0,0.0,784.0,240.33333333333334,179.33333333333334,179.33333333333334,428.3333333333333,26636149.0,49444120.0,1718867.0,6163.0,36509.666666666664,661.0,0.26686507936507936,0.0,0.0,0.0,0.22874149659863946,0.31760204081632654,0.0,0.0,0.0,0.45365646258503406,0.8571428571428571,0.14285714285714285,0.0,0.30654761904761907,1.0,62185.56186770428,63066.47959183674,2192.4323979591836,7.860969387755102,46.56845238095238,0.8431122448979592,0.26686507936507936,0.0,0.0,0.0,0.23941798941798942,0.3072089947089947,0.0,0.0,0.0,0.45337301587301587,0.8888888888888888,0.1111111111111111,0.0,0.29993386243386244,1.0,61998.20656778737,63089.119047619046,2192.2103174603176,7.855654761904762,46.957671957671955,0.8525132275132276,6,6
development,ALL,ALL,global_fixed,72264,784.0,672.0,112.0,0.0,236.33333333333331,0.0,270.3333333333333,0.0,0.0,277.3333333333333,236.33333333333331,236.33333333333331,0.0,0.0,784.0,306.3333333333333,236.33333333333331,236.33333333333331,506.66666666666663,32119473.0,49444120.0,1723402.6666666667,6169.666666666667,36564.0,664.3333333333334,0.3516865079365079,0.0,0.0,0.0,0.3014455782312925,0.344812925170068,0.0,0.0,0.0,0.3537414965986394,0.8571428571428571,0.14285714285714285,0.0,0.3907312925170068,1.0,63393.69671052632,63066.47959183674,2198.21768707483,7.869472789115647,46.63775510204081,0.8473639455782314,0.3516865079365079,0.0,0.0,0.0,0.3159722222222222,0.33382936507936506,0.0,0.0,0.0,0.3501984126984127,0.8888888888888888,0.1111111111111111,0.0,0.3854166666666667,1.0,63300.593203784985,63089.119047619046,2197.9689153439153,7.865079365079366,47.03207671957672,0.8564814814814815,6,6
development,ALL,ALL,global_fixed,72267,784.0,672.0,112.0,0.0,316.3333333333333,0.0,298.0,0.0,0.0,169.66666666666666,316.3333333333333,316.3333333333333,0.0,0.0,784.0,404.66666666666663,316.3333333333333,316.3333333333333,614.3333333333334,39986441.0,49444120.0,1726000.3333333333,6177.0,36618.333333333336,665.0,0.470734126984127,0.0,0.0,0.0,0.4034863945578231,0.38010204081632654,0.0,0.0,0.0,0.21641156462585032,0.8571428571428571,0.14285714285714285,0.0,0.516156462585034,1.0,65089.16060770483,63066.47959183674,2201.531037414966,7.878826530612245,46.707057823129254,0.8482142857142857,0.470734126984127,0.0,0.0,0.0,0.41848544973544977,0.36425264550264547,0.0,0.0,0.0,0.21726190476190477,0.8888888888888888,0.1111111111111111,0.0,0.5061177248677249,1.0,65026.138663038975,63089.119047619046,2201.2463624338625,7.873511904761905,47.102017195767196,0.8571428571428572,6,6
development,ALL,ALL,global_fixed,73290,784.0,672.0,112.0,0.0,445.0,0.0,313.6666666666667,0.0,0.0,25.333333333333332,445.0,445.0,0.0,0.0,784.0,557.0,445.0,445.0,758.6666666666666,50659414.666666664,49444120.0,1729914.0,6177.0,36703.666666666664,666.0,0.6622023809523809,0.0,0.0,0.0,0.5676020408163265,0.40008503401360546,0.0,0.0,0.0,0.03231292517006803,0.8571428571428571,0.14285714285714285,0.0,0.7104591836734694,1.0,66774.27240773286,63066.47959183674,2206.5229591836733,7.878826530612245,46.81590136054422,0.8494897959183674,0.6622023809523809,0.0,0.0,0.0,0.5844907407407407,0.37781084656084657,0.0,0.0,0.0,0.037698412698412696,0.8888888888888888,0.1111111111111111,0.0,0.6956018518518519,1.0,66618.03789173788,63089.119047619046,2205.6021825396824,7.873511904761905,47.19957010582011,0.8583002645502645,6,6
development,ALL,ALL,global_fixed,76363,784.0,672.0,112.0,0.0,672.0,0.0,112.0,0.0,0.0,0.0,672.0,672.0,0.0,0.0,784.0,784.0,672.0,672.0,784.0,55887469.333333336,49444120.0,1856723.3333333335,6487.333333333334,39478.666666666664,696.3333333333333,1.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,1.0,1.0,71285.03741496599,63066.47959183674,2368.2695578231296,8.27465986394558,50.355442176870746,0.8881802721088434,1.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,1.0,1.0,71071.67989417989,63089.119047619046,2362.1610449735454,8.246362433862434,50.64054232804233,0.896494708994709,6,6
development,ALL,ALL,metric_static,0,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,49444120.0,1631018.6666666667,5856.0,34466.333333333336,628.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.14285714285714285,0.0,0.0,,,63066.47959183674,2080.3809523809523,7.469387755102041,43.96215986394558,0.8010204081632653,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0,0.0,,,63089.119047619046,2081.8799603174602,7.470238095238095,44.37698412698413,0.8115079365079365,6,6
development,ALL,ALL,metric_static,39499,784.0,672.0,112.0,0.0,3.0,0.0,41.666666666666664,0.0,0.0,739.3333333333333,3.0,3.0,0.0,0.0,784.0,9.666666666666666,3.0,3.0,44.666666666666664,1685029.3333333333,49444120.0,1637360.0,5900.666666666667,34609.333333333336,634.0,0.004464285714285714,0.0,0.0,0.0,0.003826530612244898,0.05314625850340136,0.0,0.0,0.0,0.9430272108843536,0.8571428571428571,0.14285714285714285,0.0,0.012329931972789115,1.0,37724.53731343283,63066.47959183674,2088.469387755102,7.526360544217687,44.144557823129254,0.8086734693877551,0.004464285714285714,0.0,0.0,0.0,0.004133597883597883,0.05241402116402116,0.0,0.0,0.0,0.9434523809523809,0.8888888888888888,0.1111111111111111,0.0,0.010747354497354497,1.0,37816.21973951974,63089.119047619046,2089.6956018518517,7.526124338624339,44.55357142857143,0.8187830687830688,6,6
