cost,split,metric,mechanism,policy,rho,families,observations,reference_point,reference_unknown,reference_not_applicable,correct,wrong,wrong_safe,point,unknown,infeasible,not_applicable,correct_coverage,wrong_rate,wrong_safe_rate,unknown_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate
C1,development,ALL,ALL,metric_static,0.5,6,784.0,672.0,112.0,0.0,2.0,0.0,0.0,2.0,36.666666666666664,745.3333333333333,0.0,0.002976190476190476,0.0,0.0,0.04596560846560846,0.9513888888888888,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.55,6,784.0,672.0,112.0,0.0,4.0,0.0,0.0,4.0,47.333333333333336,732.6666666666666,0.0,0.005952380952380952,0.0,0.0,0.059854497354497355,0.9345238095238095,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.6,6,784.0,672.0,112.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,66.0,706.3333333333334,0.0,0.017361111111111112,0.0,0.0,0.08267195767195767,0.9017857142857143,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.65,6,784.0,672.0,112.0,0.0,21.0,0.0,0.0,21.0,71.33333333333333,691.6666666666666,0.0,0.03125,0.0,0.0,0.09027777777777778,0.8819444444444444,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.7,6,784.0,672.0,112.0,0.0,43.33333333333333,0.0,0.0,43.33333333333333,117.66666666666667,623.0,0.0,0.06448412698412698,0.0,0.0,0.14715608465608465,0.7946428571428571,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.75,6,784.0,672.0,112.0,0.0,54.33333333333333,0.0,0.0,54.33333333333333,116.33333333333333,613.3333333333333,0.0,0.0808531746031746,0.0,0.0,0.14484126984126985,0.7827380952380952,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.8,6,784.0,672.0,112.0,0.0,74.0,0.0,0.0,74.0,106.0,604.0,0.0,0.11011904761904762,0.0,0.0,0.13128306878306878,0.7708333333333334,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.85,6,784.0,672.0,112.0,0.0,127.0,0.0,0.0,127.0,171.0,486.0,0.0,0.18898809523809523,0.0,0.0,0.210978835978836,0.6200396825396826,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.9,6,784.0,672.0,112.0,0.0,299.3333333333333,0.0,0.0,299.3333333333333,189.33333333333331,295.33333333333337,0.0,0.4454365079365079,0.0,0.0,0.226521164021164,0.376984126984127,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,0.95,6,784.0,672.0,112.0,0.0,399.0,0.0,0.0,399.0,215.33333333333334,169.66666666666669,0.0,0.59375,0.0,0.0,0.25545634920634924,0.21726190476190477,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,metric_static,1.0,6,784.0,672.0,112.0,0.0,672.0,0.0,0.0,672.0,112.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.0,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.05,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.1,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.15,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.2,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.25,6,784.0,672.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,783.0,0.0,0.0,0.0,0.0,0.000992063492063492,0.9990079365079365,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.3,6,784.0,672.0,112.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,4.0,779.6666666666666,0.0,0.000496031746031746,0.0,0.0,0.004629629629629629,0.9950396825396826,0.8888888888888888,0.1111111111111111,0.0
