slot_id,module,kind,parent_slot,instance,source_variant,repeat,branch,max_requests,activation,status,actor_turn,details,attempts,path
RIR-I1-target-R2-revoked_original,RIR,suffix,RIR-I1-target-R2-P,1,target,2,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-target-R2-revoked_original
RIR-I1-target-R2-revoked_identity,RIR,suffix,RIR-I1-target-R2-P,1,target,2,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-target-R2-revoked_identity
RIR-I1-target-R2-revoked_neutral,RIR,suffix,RIR-I1-target-R2-P,1,target,2,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable,not_applicable,,"{""reason"": ""exact_control_span_not_preserved"", ""source_checkpoint_hash"": ""8b619093eb211f7d12affa1da6f8c00f45355e493b9abb8042394bc030e6b236""}",0,
RIR-I1-target-R2-not_revoked_control,RIR,suffix,RIR-I1-target-R2-P,1,target,2,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-target-R2-not_revoked_control
RIR-I1-neutral-R1-P,RIR,prefix,,1,neutral,1,producer,8,rir_module_needed,complete,2,"{""formed"": true}",2,live/units/RIR-I1-neutral-R1-P
RIR-I1-neutral-R1-revoked_original,RIR,suffix,RIR-I1-neutral-R1-P,1,neutral,1,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-neutral-R1-revoked_original
RIR-I1-neutral-R1-revoked_identity,RIR,suffix,RIR-I1-neutral-R1-P,1,neutral,1,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-neutral-R1-revoked_identity
RIR-I1-neutral-R1-revoked_neutral,RIR,suffix,RIR-I1-neutral-R1-P,1,neutral,1,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable,not_applicable,,"{""reason"": ""exact_control_span_not_preserved"", ""source_checkpoint_hash"": ""afdbb9d462e0951e6ccac51d0e255d7cc0f960addbb860e17c3d5a033b29f118""}",0,
RIR-I1-neutral-R1-not_revoked_control,RIR,suffix,RIR-I1-neutral-R1-P,1,neutral,1,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-neutral-R1-not_revoked_control
RIR-I1-neutral-R2-P,RIR,prefix,,1,neutral,2,producer,8,rir_module_needed,complete,2,"{""formed"": true}",2,live/units/RIR-I1-neutral-R2-P
RIR-I1-neutral-R2-revoked_original,RIR,suffix,RIR-I1-neutral-R2-P,1,neutral,2,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-neutral-R2-revoked_original
RIR-I1-neutral-R2-revoked_identity,RIR,suffix,RIR-I1-neutral-R2-P,1,neutral,2,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-neutral-R2-revoked_identity
RIR-I1-neutral-R2-revoked_neutral,RIR,suffix,RIR-I1-neutral-R2-P,1,neutral,2,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable,not_applicable,,"{""reason"": ""exact_control_span_not_preserved"", ""source_checkpoint_hash"": ""074842cddca9013c0008add1a8081a6e2a9bad980ec08e45c3078a8e33cbc521""}",0,
