phase,run_id,artifact_id,depth,expected_depth,match,paths,truncated
f,run-bf3a0a6b01e1ab41a75baf07,artifact-01aea308e71d445b,2,2,True,3,False
f,run-6de6c0cc6446815a53e7b848,artifact-7f0c389120788994,2,2,True,3,False
f,run-6de6c0cc6446815a53e7b848,artifact-187b4ea1841a04af,2,2,True,3,False
f,run-6ea49ac4006fa53911aa776b,artifact-e1b26c5dfb4b11c2,2,2,True,3,False
f,run-6ea49ac4006fa53911aa776b,artifact-0cc27b7491ac3319,2,2,True,3,False
f,run-1fb372f7c4929a1835f92ff2,artifact-e3e3e36673915a47,2,2,True,3,False
f,run-1fb372f7c4929a1835f92ff2,artifact-69736350686273b3,2,2,True,3,False
f,run-1d0f757a2021d09361ac63bb,artifact-ae5096273b91de61,2,2,True,3,False
f,run-1d0f757a2021d09361ac63bb,artifact-53b933b728df385d,2,2,True,3,False
f,run-4edefb717ebcc287c21c7ddd,artifact-dddf4a4b0338828c,2,2,True,3,False
f,run-4edefb717ebcc287c21c7ddd,artifact-779db6a193d40d27,2,2,True,3,False
f,run-dc8f979747addaacdea29a91,artifact-08908c3eef4a4e33,2,2,True,3,False
f,run-dc8f979747addaacdea29a91,artifact-d9e6067a0f7fb203,2,2,True,3,False
f,run-7c113754ad0a7f7b61d21658,artifact-06bdeec302d995a5,2,2,True,3,False
f,run-7c113754ad0a7f7b61d21658,artifact-eca77b181d2339b0,4,4,True,11,False
f,run-7c113754ad0a7f7b61d21658,artifact-8238e07344536b68,6,6,True,25,False
f,run-7c113754ad0a7f7b61d21658,artifact-548884a88df572fe,4,4,True,11,False
f,run-02bcf9b217c16a62e01e85d7,artifact-c1429010b033a827,2,2,True,3,False
f,run-02bcf9b217c16a62e01e85d7,artifact-f53e24b13439762e,4,4,True,11,False
f,run-02bcf9b217c16a62e01e85d7,artifact-be920a93c3463863,6,6,True,25,False
f,run-02bcf9b217c16a62e01e85d7,artifact-05ab574f53b05ab1,4,4,True,11,False
f,run-07c1fef3b038da65698a7837,artifact-13cd00598e4fbad0,2,2,True,3,False
f,run-07c1fef3b038da65698a7837,artifact-afb78ec3cadadf34,4,4,True,11,False
f,run-07c1fef3b038da65698a7837,artifact-401d074323284314,6,6,True,25,False
f,run-07c1fef3b038da65698a7837,artifact-9eca02e5f8880c8a,4,4,True,11,False
f,run-e218d9385df9b4e1a6c402ce,artifact-0351fb57be8433b4,2,2,True,3,False
f,run-e218d9385df9b4e1a6c402ce,artifact-515918eeb48d4bec,4,4,True,11,False
f,run-e218d9385df9b4e1a6c402ce,artifact-1860cff16a888733,6,6,True,25,False
f,run-e218d9385df9b4e1a6c402ce,artifact-b88e5965eb178b06,4,4,True,11,False
f,run-b00b442a90b4c50fb51747b6,artifact-6346b4979cb5783b,2,2,True,3,False
f,run-b00b442a90b4c50fb51747b6,artifact-f264c6eef5003d4c,4,4,True,11,False
f,run-b00b442a90b4c50fb51747b6,artifact-af0e762893423d9e,6,6,True,25,False
f,run-b00b442a90b4c50fb51747b6,artifact-c6ba14a25f18846a,4,4,True,11,False
f,run-499ca49652049a6ef0fc70e2,artifact-6fd45bdbf192b90e,2,2,True,3,False
f,run-499ca49652049a6ef0fc70e2,artifact-6743ee9321273b14,4,4,True,11,False
f,run-499ca49652049a6ef0fc70e2,artifact-195bb6f31a54f119,6,6,True,25,False
f,run-499ca49652049a6ef0fc70e2,artifact-f7fd047204f52a41,4,4,True,11,False
f,run-46339ee772ca533e6962cdb7,artifact-f4c528b5e6797f2f,2,2,True,3,False
f,run-46339ee772ca533e6962cdb7,artifact-af54a8513c59c616,4,4,True,11,False
f,run-46339ee772ca533e6962cdb7,artifact-1aa8a1b84ce83d15,6,6,True,25,False
f,run-46339ee772ca533e6962cdb7,artifact-4e0087d588125bcd,4,4,True,11,False
f,run-d8a023448b26cd7c696d664b,artifact-509766319afad8f3,2,2,True,3,False
f,run-d8a023448b26cd7c696d664b,artifact-6b550fef23c5756f,4,4,True,11,False
f,run-d8a023448b26cd7c696d664b,artifact-25f4de9922ae8ca4,6,6,True,25,False
f,run-d8a023448b26cd7c696d664b,artifact-979a3be91c467830,4,4,True,11,False
f,run-79745ef529f0075514eff669,artifact-0a15ad551dfaa75b,2,2,True,3,False
f,run-79745ef529f0075514eff669,artifact-14e2f0ea96a1e376,4,4,True,11,False
f,run-79745ef529f0075514eff669,artifact-bace0aec2cb8dc59,6,6,True,25,False
f,run-79745ef529f0075514eff669,artifact-5629d76483ad27b7,4,4,True,11,False
f,run-c85b546f47470b157747d9ab,artifact-bf4d7a1fc1f39731,2,2,True,3,False
f,run-c85b546f47470b157747d9ab,artifact-cbf287b2372d2876,4,4,True,11,False
f,run-c85b546f47470b157747d9ab,artifact-bb462cbc6d08f9da,6,6,True,25,False
f,run-c85b546f47470b157747d9ab,artifact-9abb64b507297412,4,4,True,11,False
f,run-5aa8e59aef5f95dc4ae6a9d0,artifact-1b5a8711f8b8ebf9,2,2,True,3,False
f,run-5aa8e59aef5f95dc4ae6a9d0,artifact-6af96ba346076f91,4,4,True,11,False
