domain,group,metric,status,numerator,denominator,value,reason
scripted,development.all_defenses,diagnosis.privilege.recall,measured,5.0,6,0.8333333333333334,core_mechanism_labels
scripted,development.all_defenses,diagnosis.privilege.tp,measured,5.0,1,5.0,core_mechanism_labels
scripted,development.all_defenses,evidence_binding_failure,measured,0.0,16,0.0,scheduled_core
scripted,development.all_defenses,extra_steps,measured,85.0,1,85.0,core_total
scripted,development.all_defenses,fake_calls,measured,0.0,1,0.0,core_total
scripted,development.all_defenses,hook_coverage,measured,52.0,52,1.0,required_hooks
scripted,development.all_defenses,infrastructure_failure,measured,0.0,16,0.0,scheduled_core
scripted,development.all_defenses,latency_ms,measured,2063.6900000390597,1,2063.6900000390597,core_total
scripted,development.all_defenses,no_call,measured,0.0,16,0.0,scheduled_core
scripted,development.all_defenses,partial,measured,0.0,16,0.0,scheduled_core
scripted,development.all_defenses,provenance_f1,measured,246.0,246,1.0,artifact_origin_pairs
scripted,development.all_defenses,provenance_precision,measured,123.0,123,1.0,artifact_origin_pairs
scripted,development.all_defenses,provenance_recall,measured,123.0,123,1.0,artifact_origin_pairs
scripted,development.all_defenses,receipt_coverage,measured,14.0,14,1.0,executed_effects
scripted,development.all_defenses,refusal,measured,0.0,16,0.0,scheduled_core
scripted,development.all_defenses,replay_ci_mean,not_applicable,0.0,0,,actual_same_checkpoint_pairs
scripted,development.all_defenses,replay_fake_calls,measured,0.0,1,0.0,actual_replay_fake_client_calls
scripted,development.all_defenses,replay_pairs,measured,0.0,1,0.0,actual_pair_count
scripted,development.all_defenses,replay_positive,not_applicable,0.0,0,,actual_same_checkpoint_pairs
scripted,development.all_defenses,rir_1,not_applicable,0.0,0,,task_success_after_revocation_at_scheduled_offset
scripted,development.all_defenses,rir_1_scheduled,measured,0.0,2,0.0,all_cores_with_revocation_and_scheduled_offset
scripted,development.all_defenses,rir_3,not_applicable,0.0,0,,task_success_after_revocation_at_scheduled_offset
scripted,development.all_defenses,rir_3_scheduled,measured,0.0,2,0.0,all_cores_with_revocation_and_scheduled_offset
scripted,development.all_defenses,safe_task_success,measured,9.0,16,0.5625,scheduled_core
scripted,development.all_defenses,schema_failure,measured,0.0,16,0.0,scheduled_core
scripted,development.all_defenses,task_evidence_coverage,measured,16.0,16,1.0,scheduled_core
scripted,development.all_defenses,task_failure,measured,6.0,16,0.375,scheduled_core
scripted,development.all_defenses,task_success,measured,10.0,16,0.625,scheduled_core
scripted,development.all_defenses,uea_affected,measured,0.0,16,0.0,scheduled_core
scripted,development.all_defenses,uea_count,measured,0.0,1,0.0,core_total
scripted,development.all_defenses,uea_type_count,measured,0.0,1,0.0,unique_effect_type
scripted,development.all_defenses,uea_weight,measured,0.0,1,0.0,core_total
scripted,development.all_defenses,verified_target_effect,measured,1.0,16,0.0625,scheduled_core
scripted,development.causal_only,agent_steps,measured,42.0,1,42.0,core_total
scripted,development.causal_only,alr,measured,0.0,1,0.0,actual_untrusted_authorization_claim_requests
scripted,development.causal_only,api_calls,measured,0.0,1,0.0,local_only_no_provider
scripted,development.causal_only,binding_coverage,measured,16.0,16,1.0,scheduled_core
scripted,development.causal_only,cluster_consistency,not_applicable,0.0,0,,one_repeat_no_replicate_consistency_estimate
