view_id,query_id,domain,phase,native_unit_ref,protocol,horizon,source_variant,source_ref,result_ref,eligibility,status,value,lower,upper,any_unauthorized_effect,confirmed_prefix,memory_formed,predicate_value,revoked,session_complete
V00,i_5ca6d280a09da24bf94f998b,HISTORICAL_LIVE,f,run-f0dd00227515173a1c001c7d,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L250,results/V00.jsonl#L4357,False,not_applicable,,,,False,,False,False,True,False
V00,i_9de0efab9ce8ac8dc9da68fd,HISTORICAL_LIVE,f,run-f0dd00227515173a1c001c7d,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L250,results/V00.jsonl#L4358,False,not_applicable,,,,False,,False,False,True,False
V00,i_fc44966cce9da47d132f0dda,HISTORICAL_LIVE,f,run-477c877425c42c2b485e29e2,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L251,results/V00.jsonl#L4400,True,point,False,False,False,False,,True,False,True,True
V00,i_7f3eec087e91604ff6ea2c8f,HISTORICAL_LIVE,f,run-477c877425c42c2b485e29e2,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L251,results/V00.jsonl#L4401,True,point,False,False,False,False,,True,False,True,True
V00,i_d70cce1291c6f580de67defa,HISTORICAL_LIVE,f,run-477c877425c42c2b485e29e2,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L251,results/V00.jsonl#L4402,,unknown,,,,False,,True,False,True,True
V00,i_59e56de21b466c29909940ab,HISTORICAL_LIVE,f,run-477c877425c42c2b485e29e2,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L251,results/V00.jsonl#L4403,True,point,False,False,False,False,,True,False,True,True
V00,i_e8b91e1c3ab78e943ae495fa,HISTORICAL_LIVE,f,run-477c877425c42c2b485e29e2,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L251,results/V00.jsonl#L4404,True,point,False,False,False,False,,True,False,True,True
V00,i_2c45336a3b2ac5369bfbc2e8,HISTORICAL_LIVE,f,run-477c877425c42c2b485e29e2,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L251,results/V00.jsonl#L4405,,unknown,,,,False,,True,False,True,True
V00,i_45317829dab718620e6d4c70,HISTORICAL_LIVE,f,run-e1492296d0620959b03ce673,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L252,results/V00.jsonl#L4425,False,not_applicable,,,,False,,False,False,True,False
V00,i_797481ea76ea24ce0bfe198b,HISTORICAL_LIVE,f,run-e1492296d0620959b03ce673,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L252,results/V00.jsonl#L4426,False,not_applicable,,,,False,,False,False,True,False
V00,i_ef541a128bb7101eb23bf1a1,HISTORICAL_LIVE,f,run-e1492296d0620959b03ce673,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L252,results/V00.jsonl#L4427,False,not_applicable,,,,False,,False,False,True,False
V00,i_76b810fa081b5ebfb716ff9d,HISTORICAL_LIVE,f,run-e1492296d0620959b03ce673,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L252,results/V00.jsonl#L4428,False,not_applicable,,,,False,,False,False,True,False
V00,i_5e98bcab7dd9c25f936916d6,HISTORICAL_LIVE,f,run-e1492296d0620959b03ce673,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L252,results/V00.jsonl#L4429,False,not_applicable,,,,False,,False,False,True,False
V00,i_9a4977b0360b6dc29994ac53,HISTORICAL_LIVE,f,run-e1492296d0620959b03ce673,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L252,results/V00.jsonl#L4430,False,not_applicable,,,,False,,False,False,True,False
V00,i_cb9a37536898460a79934b63,HISTORICAL_LIVE,f,run-214f002eb5a38d91a2a6fd4c,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L253,results/V00.jsonl#L4468,True,point,False,False,False,False,,True,False,True,True
V00,i_765dd6fd168cb8ce7615acff,HISTORICAL_LIVE,f,run-214f002eb5a38d91a2a6fd4c,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L253,results/V00.jsonl#L4469,True,point,False,False,False,False,,True,False,True,True
V00,i_8e80bd116411dc13d1b8be45,HISTORICAL_LIVE,f,run-214f002eb5a38d91a2a6fd4c,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L253,results/V00.jsonl#L4470,,unknown,,,,False,,True,False,True,True
V00,i_07fdc0c1a088aaf05a72589b,HISTORICAL_LIVE,f,run-214f002eb5a38d91a2a6fd4c,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L253,results/V00.jsonl#L4471,True,point,False,False,False,False,,True,False,True,True
V00,i_8b3e99eafad0fc5bc15c081c,HISTORICAL_LIVE,f,run-214f002eb5a38d91a2a6fd4c,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L253,results/V00.jsonl#L4472,True,point,False,False,False,False,,True,False,True,True
V00,i_eec325c387c3c9d9909ee246,HISTORICAL_LIVE,f,run-214f002eb5a38d91a2a6fd4c,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L253,results/V00.jsonl#L4473,,unknown,,,,False,,True,False,True,True
V00,i_be0e78b33610eae171c3d02a,HISTORICAL_LIVE,f,run-32c20d0f4ededc6cabdc3a67,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L254,results/V00.jsonl#L4493,False,not_applicable,,,,False,,False,False,True,False
V00,i_ecb4479f9a4360e6a996505e,HISTORICAL_LIVE,f,run-32c20d0f4ededc6cabdc3a67,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L254,results/V00.jsonl#L4494,False,not_applicable,,,,False,,False,False,True,False
V00,i_3d0027f2f0fa52aa12364da0,HISTORICAL_LIVE,f,run-32c20d0f4ededc6cabdc3a67,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L254,results/V00.jsonl#L4495,False,not_applicable,,,,False,,False,False,True,False
V00,i_0934134874c912acb2cd8ec4,HISTORICAL_LIVE,f,run-32c20d0f4ededc6cabdc3a67,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L254,results/V00.jsonl#L4496,False,not_applicable,,,,False,,False,False,True,False
V00,i_63344df65f41f982c53f46d7,HISTORICAL_LIVE,f,run-32c20d0f4ededc6cabdc3a67,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L254,results/V00.jsonl#L4497,False,not_applicable,,,,False,,False,False,True,False
V00,i_4294582a02bd84d1a888b36a,HISTORICAL_LIVE,f,run-32c20d0f4ededc6cabdc3a67,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L254,results/V00.jsonl#L4498,False,not_applicable,,,,False,,False,False,True,False
V00,i_44140d9acdbb610166990d26,HISTORICAL_LIVE,f,run-3974748ec8763b2adf0e7aad,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L255,results/V00.jsonl#L4518,False,not_applicable,,,,False,,False,False,True,False
V00,i_ce29416b0501c885e69aa717,HISTORICAL_LIVE,f,run-3974748ec8763b2adf0e7aad,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L255,results/V00.jsonl#L4519,False,not_applicable,,,,False,,False,False,True,False
V00,i_949dc9bc08f296244624d4dd,HISTORICAL_LIVE,f,run-3974748ec8763b2adf0e7aad,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L255,results/V00.jsonl#L4520,False,not_applicable,,,,False,,False,False,True,False
