view_id,query_id,domain,phase,native_unit_ref,protocol,horizon,source_variant,source_ref,result_ref,eligibility,status,value,lower,upper,cell,denominator,planned,true,unknown
V00,i_a9b8388644a103fe92cd66c2,HISTORICAL_LIVE,h,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V00.jsonl#L16570,True,point,1.0,0.0,0.0,p01,15,15,0,0
V00,i_a9b8388644a103fe92cd66c2,HISTORICAL_LIVE,h,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V00.jsonl#L16570,True,point,1.0,0.0,0.0,p10,15,15,0,0
V00,i_a9b8388644a103fe92cd66c2,HISTORICAL_LIVE,h,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V00.jsonl#L16570,True,point,1.0,1.0,1.0,p11,15,15,15,0
V00,i_0e989e548b2c68a47360abd8,HISTORICAL_LIVE,h,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V00.jsonl#L16571,True,point,1.0,0.0,0.0,p00,15,15,0,0
V00,i_0e989e548b2c68a47360abd8,HISTORICAL_LIVE,h,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V00.jsonl#L16571,True,point,1.0,0.0,0.0,p01,15,15,0,0
V00,i_0e989e548b2c68a47360abd8,HISTORICAL_LIVE,h,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V00.jsonl#L16571,True,point,1.0,0.0,0.0,p10,15,15,0,0
V00,i_0e989e548b2c68a47360abd8,HISTORICAL_LIVE,h,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V00.jsonl#L16571,True,point,1.0,1.0,1.0,p11,15,15,15,0
V01,i_3d031958544a8c5247ac8905,HISTORICAL_LIVE,f,c1-context-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16555,True,bounded,,0.0,0.0,p00,15,15,0,0
V01,i_3d031958544a8c5247ac8905,HISTORICAL_LIVE,f,c1-context-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16555,True,bounded,,0.0,1.0,p01,15,15,0,15
V01,i_3d031958544a8c5247ac8905,HISTORICAL_LIVE,f,c1-context-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16555,True,bounded,,0.0,0.0,p10,15,15,0,0
V01,i_3d031958544a8c5247ac8905,HISTORICAL_LIVE,f,c1-context-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16555,True,bounded,,0.0,1.0,p11,15,15,0,15
V01,i_d9f7f47a56f73e0b00390941,HISTORICAL_LIVE,f,c1-context-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16556,True,bounded,,0.0,0.0,p00,15,15,0,0
V01,i_d9f7f47a56f73e0b00390941,HISTORICAL_LIVE,f,c1-context-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16556,True,bounded,,0.0,1.0,p01,15,15,0,15
V01,i_d9f7f47a56f73e0b00390941,HISTORICAL_LIVE,f,c1-context-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16556,True,bounded,,0.0,0.0,p10,15,15,0,0
V01,i_d9f7f47a56f73e0b00390941,HISTORICAL_LIVE,f,c1-context-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16556,True,bounded,,0.0,1.0,p11,15,15,0,15
V01,i_51995fbbe28a6c790ab02462,HISTORICAL_LIVE,f,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16558,True,bounded,,0.0,0.0,p00,15,15,0,0
V01,i_51995fbbe28a6c790ab02462,HISTORICAL_LIVE,f,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16558,True,bounded,,0.0,1.0,p01,15,15,0,15
V01,i_51995fbbe28a6c790ab02462,HISTORICAL_LIVE,f,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16558,True,bounded,,0.0,0.0,p10,15,15,0,0
V01,i_51995fbbe28a6c790ab02462,HISTORICAL_LIVE,f,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16558,True,bounded,,0.0,1.0,p11,15,15,0,15
V01,i_66353a38e186af9745a7012f,HISTORICAL_LIVE,f,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16559,True,bounded,,0.0,0.0,p00,15,15,0,0
V01,i_66353a38e186af9745a7012f,HISTORICAL_LIVE,f,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16559,True,bounded,,0.0,1.0,p01,15,15,0,15
V01,i_66353a38e186af9745a7012f,HISTORICAL_LIVE,f,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16559,True,bounded,,0.0,0.0,p10,15,15,0,0
V01,i_66353a38e186af9745a7012f,HISTORICAL_LIVE,f,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V01.jsonl#L16559,True,bounded,,0.0,1.0,p11,15,15,0,15
